Quadrat_ID,Mining_type,Spatial_Zone,Season,B02_median,B02_std,B03_median,B03_std,B04_median,B04_std,B05_median,B05_std,B06_median,B06_std,B07_median,B07_std,B08_median,B08_std,B8A_median,B8A_std,B11_median,B11_std,B12_median,B12_std
OC-Q1,Opencast,Zone_A_10m,Monsoon,0.0372,0.0014142135623730937,0.04925,0.004454772721475249,0.0412,0.014142135623730954,0.08365,0.014354267658086919,0.16745,0.013505739520663052,0.19355,0.028496403281817868,0.1859,0.011737972567696691,0.21739999999999998,0.023758787847867998,0.156,0.024748737341529145,0.091,0.027011479041326107
OC-Q1,Opencast,Zone_A_10m,Summer,0.049,0.003252691193458121,0.059399999999999994,0.004808326112068516,0.052199999999999996,0.0031112698372208025,0.0838,0.0007071067811865482,0.12664999999999998,0.00487903679018716,0.1406,0.004384062043356583,0.1403,0.0035355339059327407,0.1572,0.0011313708498984691,0.1521,0.013152186130069759,0.10619999999999999,0.015414927829866741
OC-Q1,Opencast,Zone_A_10m,Winter,0.039599999999999996,0.01668772003600252,0.0508,0.02262741699796952,0.0463,0.024465894629054546,0.0767,0.021071782079359117,0.16399999999999998,0.008061017305526627,0.18895,0.002616295090390242,0.16649999999999998,0.015414927829866736,0.2041,0.003676955262170035,0.1256,0.009050966799187802,0.063,0.010323759005323596
OC-Q1,Opencast,Zone_B_50m,Monsoon,0.0397,0.0008485281374238593,0.0542,0.006363961030678926,0.04445,0.012515790027001894,0.08395,0.01520279579551077,0.16765,0.013505739520663062,0.19440000000000002,0.027152900397563427,0.1988,0.023617366491630678,0.21645,0.02128391411371509,0.15895,0.023829498525986658,0.0938,0.028001428534987285
OC-Q1,Opencast,Zone_B_50m,Summer,0.04915,0.0024748737341529184,0.0606,0.0038183766184073558,0.0565,0.00311126983722081,0.08460000000000001,0.0012727922061357975,0.12865,0.0033234018715767705,0.14255,0.0027577164466275356,0.1478,0.0018384776310850272,0.15839999999999999,0.002121320343559615,0.15489999999999998,0.013293607486307112,0.10930000000000001,0.014283556979968262
OC-Q1,Opencast,Zone_B_50m,Winter,0.042550000000000004,0.018314065632731583,0.0547,0.02177888886054566,0.04725,0.023688077169749345,0.0766,0.021071782079359117,0.16145,0.0031819805153394665,0.18625,0.0006363961030679012,0.19465,0.0017677669529663704,0.20315,0.005444722215136405,0.1274,0.008202438661763966,0.06520000000000001,0.009475230867899741
OC-Q1,Opencast,Zone_C_50m,Monsoon,0.04035,0.00021213203435596788,0.0547,0.006929646455628168,0.04585,0.013505739520663059,0.0843,0.014849242404917492,0.16655,0.013505739520663062,0.19205,0.026233661582020926,0.19545,0.024112341238461257,0.21325,0.02043538597629124,0.16160000000000002,0.023758787847867998,0.09845,0.028496403281817868
OC-Q1,Opencast,Zone_C_50m,Summer,0.0504,0.002687005768508879,0.061900000000000004,0.003818376618407358,0.05875,0.0031819805153394595,0.08710000000000001,0.0016970562748477185,0.13119999999999998,0.0026870057685088695,0.14450000000000002,0.0018384776310850469,0.14945,0.0013435028842544493,0.16005,0.0012020815280171162,0.1602,0.01244507934888324,0.1152,0.013576450198781708
OC-Q1,Opencast,Zone_C_50m,Winter,0.04265,0.01817264427649427,0.0548,0.021496046148071046,0.04755,0.022698127676088177,0.07730000000000001,0.020081832585697953,0.15955000000000003,0.0023334523779156148,0.18330000000000002,0.0022627416997969482,0.19419999999999998,0.0002828427124746173,0.20065,0.0065760930650349035,0.1298,0.006929646455628163,0.0686,0.009050966799187805
OC-Q1,Opencast,Zone_D_100m,Monsoon,0.04345,0.0006363961030678987,0.0572,0.007636753236814716,0.049949999999999994,0.014212846301849602,0.08515,0.01520279579551078,0.1582,0.006929646455628158,0.1821,0.01711198410471445,0.1818,0.013859292911256337,0.20045,0.011384419177103419,0.16415,0.026375082938258222,0.1072,0.02927422074112308
OC-Q1,Opencast,Zone_D_100m,Summer,0.053099999999999994,0.0022627416997969504,0.06435,0.0024748737341529184,0.0622,0.0015556349186104002,0.0892,0.00014142135623731355,0.13115,0.0020506096654409876,0.1442,0.0028284271247461927,0.14595000000000002,0.0037476659402886914,0.15860000000000002,0.004384062043356593,0.16525,0.013930003589374983,0.12405,0.013364318164425763
OC-Q1,Opencast,Zone_D_100m,Winter,0.044,0.017960512242138304,0.056249999999999994,0.021708178182427006,0.0501,0.022768838354206827,0.07825,0.021283914113715073,0.15105000000000002,0.010111626970967645,0.17265,0.00799030662740797,0.18025,0.010253048327204948,0.18819999999999998,0.004808326112068513,0.1321,0.010040916292848968,0.07519999999999999,0.010040916292848973
