Observation_Level,Operational_Seasonal_Composite,Quadrat_ID,Mining_Type,Acquisition_Date,Acquisition_UTC,Acquisition_IST,Item_ID,Tile_MGRS,Relative_Orbit,Platform,Scene_Cloud_Cover_Pct,Season_IMD,Season_Operational,Spatial_Zone,Zone_Description,Theoretical_Denominator_Pixels,Extracted_Pixels,Valid_Terrestrial_Pixels,Terrestrial_Validity_Pct,SCL_4_Vegetation_Pixels,SCL_5_Soil_Pixels,SCL_2_DarkShadow_Pixels,SCL_7_Unclassified_Pixels,SCL_Other_Pixels,NDVI,EVI,NDRE,SWIR_Ratio
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.4355,0.2801,0.2665,1.434
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4461,0.2844,0.2723,1.4523
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.3748,0.2373,0.2268,1.3518
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.224,0.1256,0.1229,1.2182
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2465,0.1403,0.1173,1.2549
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2559,0.1471,0.1221,1.2795
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2663,0.1559,0.1309,1.3011
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4339,0.1932,0.2408,1.4984
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,23,92.0,0,23,0,2,0,0.435,0.2017,0.2695,1.4698
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,71,87.65,0,71,0,10,0,0.4218,0.1987,0.2585,1.4375
