Observation_Level,Operational_Seasonal_Composite,Quadrat_ID,Mining_Type,Acquisition_Date,Acquisition_UTC,Acquisition_IST,Item_ID,Tile_MGRS,Relative_Orbit,Platform,Scene_Cloud_Cover_Pct,Season_IMD,Season_Operational,Spatial_Zone,Zone_Description,Theoretical_Denominator_Pixels,Extracted_Pixels,Valid_Terrestrial_Pixels,Terrestrial_Validity_Pct,SCL_4_Vegetation_Pixels,SCL_5_Soil_Pixels,SCL_2_DarkShadow_Pixels,SCL_7_Unclassified_Pixels,SCL_Other_Pixels,NDVI,EVI,NDRE,SWIR_Ratio
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4813,0.2123,0.2631,1.3785
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,23,92.0,0,23,2,0,0,0.4581,0.2063,0.2713,1.3776
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,67,82.72,0,67,14,0,0,0.4451,0.2045,0.2636,1.3573
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,236,74.45,0,236,52,29,0,0.4115,0.1931,0.2441,1.318
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2294,0.1254,0.1466,1.1524
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2686,0.1506,0.157,1.1639
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2884,0.1591,0.1661,1.1837
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2752,0.1491,0.1552,1.1953
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.1615,0.0929,0.0597,1.1618
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.1792,0.1061,0.1003,1.1777
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.1957,0.1141,0.1056,1.1982
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.1922,0.1123,0.0996,1.2198
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4595,0.2381,0.2265,1.35
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3756,0.1937,0.1966,1.3076
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.3277,0.1712,0.1712,1.2707
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2769,0.1458,0.1449,1.2324
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.1703,0.0887,0.0544,1.2224
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.1936,0.1058,0.0888,1.2215
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.1998,0.1092,0.0938,1.2182
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2156,0.1202,0.1028,1.2216
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3267,0.2133,0.0554,1.2312
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2493,0.1695,0.0977,1.2261
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2128,0.1468,0.1065,1.2128
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2409,0.165,0.1289,1.2286
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4078,0.2716,0.241,1.3628
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3246,0.2174,0.2014,1.3253
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2866,0.1962,0.1633,1.2924
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2599,0.1825,0.156,1.2815
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5629,0.3385,0.3189,1.4471
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2916,0.1895,0.1648,1.4017
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2132,0.1418,0.1038,1.376
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2283,0.1502,0.1097,1.3528
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5081,0.3266,0.2862,1.3586
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.4408,0.2766,0.2597,1.3585
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4585,0.2802,0.2684,1.3648
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.3759,0.2346,0.2209,1.2921
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3571,0.2255,0.1635,1.2712
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3529,0.2144,0.1853,1.303
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.3838,0.2361,0.2041,1.3229
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.3952,0.2475,0.2143,1.3384
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5524,0.2604,0.3087,1.5758
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.5468,0.2665,0.3145,1.5494
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.5242,0.2542,0.3039,1.5086
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,2,315,0,0,0,0.4752,0.2312,0.276,1.4373
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2777,0.166,0.1747,1.2111
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3214,0.1954,0.1908,1.2276
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.3415,0.2062,0.1989,1.2606
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.319,0.1885,0.182,1.2709
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.1778,0.123,0.092,1.2168
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.1886,0.1243,0.1105,1.2438
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2204,0.1414,0.1201,1.2697
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2126,0.1375,0.1163,1.2941
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5505,0.3122,0.296,1.4798
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.5012,0.2884,0.2862,1.4361
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4643,0.2718,0.2652,1.4051
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.4197,0.2473,0.2392,1.3719
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2492,0.149,0.0997,1.3081
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2561,0.1551,0.1291,1.2985
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2571,0.1552,0.1345,1.2914
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-06-13,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,S2A_44QPK_20240613_0_L2A,44QPK,R019,sentinel-2a,4.28,Southwest Monsoon (Onset),Monsoon & Retreat Green Season (Onset),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2756,0.1676,0.1463,1.2943
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7107,0.5397,0.4017,1.6204
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,23,2,0,0,0,0.5914,0.4465,0.3568,1.567
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,77,4,0,0,0,0.5714,0.4272,0.364,1.5376
