Spatial_Zone,Mining_type,NDVI_Summer_mean,NDVI_Summer_std,NDVI_GreenSeason_mean,NDVI_GreenSeason_std,NDVI_Winter_mean,NDVI_Winter_std,Seasonal_NDVI_Amplitude_mean,Seasonal_NDVI_Amplitude_std,Winter_to_GreenSeason_Ratio_mean,Winter_to_GreenSeason_Ratio_std,Spatial_Zone_Label
Zone_A_10m,Opencast,0.303,0.1242,0.5035,0.1482,0.484,0.1479,0.2004,0.0656,0.962,0.1131,"Zone A (10 × 10 m, 1 pixel)"
Zone_A_10m,Underground,0.3814,0.0924,0.5498,0.0661,0.5107,0.0777,0.1685,0.0557,0.9298,0.1071,"Zone A (10 × 10 m, 1 pixel)"
Zone_B_50m,Opencast,0.3045,0.0984,0.4884,0.1542,0.4775,0.1609,0.1839,0.088,0.9709,0.0524,"Zone B (50 × 50 m, 25 pixels)"
Zone_B_50m,Underground,0.3047,0.0771,0.4926,0.0816,0.468,0.0843,0.188,0.0535,0.95,0.0798,"Zone B (50 × 50 m, 25 pixels)"
Zone_C_50m,Opencast,0.302,0.083,0.4882,0.1314,0.4742,0.1372,0.1862,0.0878,0.9668,0.0227,"Zone C (50 m radius disc, 81 pixels)"
Zone_C_50m,Underground,0.2792,0.0977,0.4745,0.109,0.4475,0.1214,0.1953,0.0674,0.9418,0.113,"Zone C (50 m radius disc, 81 pixels)"
Zone_D_100m,Opencast,0.2873,0.0633,0.4737,0.1047,0.457,0.116,0.1864,0.0846,0.9588,0.0388,"Zone D (100 m radius disc, 317 pixels)"
Zone_D_100m,Underground,0.2708,0.0576,0.4691,0.0839,0.4467,0.1306,0.1983,0.0713,0.9424,0.1326,"Zone D (100 m radius disc, 317 pixels)"
