Spatial_Zone,Geometric_Shape,Geometric_Area_m2,Raster_Support_Area_m2,Theoretical_Pixels,Mean_Valid_Pixels,Valid_Terrestrial_Pct,SCL_Exclusions,Ecological_Footprint
Zone A (Quadrat Pixel Support),Square (10 x 10 m),100 m² (0.01 ha),100 m² (1 pixel),1,1.00,100.00%,None (all 60 site-date cases valid SCL 4 or 5),Nominal satellite support defined by the pixel containing the quadrat centroid; field-plot overlap is variable
Zone B (Local Neighborhood),Square (50 x 50 m),"2,500 m² (0.25 ha)","2,500 m² (25 pixels)",25,24.83,99.33%,Localized mine water ditch pixels (SCL 6) near OC-Q1 in summer,Immediate plot neighborhood enclosing GPS positional uncertainty (±5 m buffer)
Zone C (Intermediate Buffer),Circular disc (radius = 50 m),"7,854 m² (π × 50², 0.79 ha)","approximately 8,100 m² (81 pixels)",81,80.37,99.22%,Scattered shadows (SCL 2) and drainage sump edges (SCL 6),Stand-level forest / overburden plantation patch scale
Zone D (Contextual Landscape Buffer),Circular disc (radius = 100 m),"31,416 m² (π × 100², 3.14 ha)","approximately 31,700 m² (317 pixels)",317,313.80,98.99%,"Haulage tracks, unclassified surfaces (SCL 7), and water bodies",Landscape-level colliery lease matrix enclosing access tracks and infrastructure
