Item_ID,Acquisition_UTC,Acquisition_IST,Date_YYYY_MM_DD,Tile_MGRS,Relative_Orbit,Platform,Season_IMD_Climatology,Season_Operational,Season_Code,Scene_Cloud_Cover_Pct,Processing_Level,STAC_Collection,Asset_URL_B04,Asset_URL_B08,Asset_URL_SCL,Archive_Status,Audit_SHA256
S2A_44QPK_20240325_0_L2A,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,2024-03-25,44QPK,R019,sentinel-2a,Summer (Pre-monsoon),Pre-monsoon Summer,Summer,3.74,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/3/S2A_44QPK_20240325_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/3/S2A_44QPK_20240325_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/3/S2A_44QPK_20240325_0_L2A/SCL.tif,Selected - Primary Verified Stack,205a6053a986cd724073655c022527b94e9dbbaa00903e292e0b8f0d633c5541
S2A_44QPK_20240514_0_L2A,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,2024-05-14,44QPK,R019,sentinel-2a,Summer (Pre-monsoon),Pre-monsoon Summer,Summer,1.62,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/5/S2A_44QPK_20240514_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/5/S2A_44QPK_20240514_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/5/S2A_44QPK_20240514_0_L2A/SCL.tif,Selected - Primary Verified Stack,eb864da3d200e9c7e0102051408bf0d55547ff836a68bce7009f74c0b74841b9
S2A_44QPK_20240613_0_L2A,2024-06-13T05:12:47.350000Z,2024-06-13 10:42:47,2024-06-13,44QPK,R019,sentinel-2a,Southwest Monsoon (Onset),Southwest Monsoon,Monsoon,4.28,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/6/S2A_44QPK_20240613_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/6/S2A_44QPK_20240613_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/6/S2A_44QPK_20240613_0_L2A/SCL.tif,Selected - Primary Verified Stack,3014a3c7bd24bd99e06bca03a47cb389889f12f3848c3fdf49fe23262f40efe6
S2B_44QPK_20241006_0_L2A,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,2024-10-06,44QPK,R019,sentinel-2b,Late Monsoon Retreat / Transition,Late Monsoon Peak Greenness,Monsoon,4.11,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/10/S2B_44QPK_20241006_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/10/S2B_44QPK_20241006_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/10/S2B_44QPK_20241006_0_L2A/SCL.tif,Selected - Primary Verified Stack,0516c537e57b087710a3aee705d9b4926756edd8fe75b61ed7d404c7ca18e171
S2A_44QPK_20241120_0_L2A,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,2024-11-20,44QPK,R019,sentinel-2a,Post-monsoon Winter,Post-monsoon Winter,Winter,0.0,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/11/S2A_44QPK_20241120_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/11/S2A_44QPK_20241120_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/11/S2A_44QPK_20241120_0_L2A/SCL.tif,Selected - Primary Verified Stack,936421aabfb65513d96c100ecd28e7d249ca38277c4935f1eef3ea6f63f13f68
S2A_44QPK_20241230_0_L2A,2024-12-30T05:12:42.094000Z,2024-12-30 10:42:42,2024-12-30,44QPK,R019,sentinel-2a,Post-monsoon Winter,Post-monsoon Winter,Winter,0.49,Level-2A (Surface Reflectance BOA),sentinel-2-l2a,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/12/S2A_44QPK_20241230_0_L2A/B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/12/S2A_44QPK_20241230_0_L2A/B08.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/Q/PK/2024/12/S2A_44QPK_20241230_0_L2A/SCL.tif,Selected - Primary Verified Stack,b8b394ae444dcc8209afede358c47a25613d032705988bbd63ad6a60fa086853
